YorubaWords,PartOfSpeech
" adanisilę, oludaide.", n
 alailakoso., n
 olutoju akojo iwe., n
 ikojopo iwe., n
 iná ori tabi ti asp., n
" lailakoso, tiwa- kuwa.", adj
" and i. fi ahọn lá, lá.", v
 ideri., n
" eké, iró. v. and i. puro, şeké, dubulę, fi ara ti.", n
 olori., n
" ipò, aye.", n
 dye ogagun., n
" adele oba, ogagun, eniti o duro dipo elomiran.", n
 oko igbala., n
 olufunni ni iye., n
" oluşq ara oba,", n
" lainiye, okú.", adj
" igba aiye, ojo aiye.", n
" and i. gbe-soké, gbé-ga.", v
" edidi, eyiti o de orike egungun po.", n
" edidi, idė.", n
" imolę, imp. v. mu-", n
 oko erù., n
 alaironu., adj
" ni inudidun, laini aniyan.", adj
 ile implę ti o şe ikilo awon atuko., n
 oninu kan., adj
" fi-wé, fi şe akawe. Likeness, n. awòran, irí, afarawe, jijo.", v
" bēgęgę, pelu.", adv
 oruko itanna kan itanna işumeri., n
" eya ara, çka igi.", n
 efun; orombo wewe., n
 ębu efun., n
 okuta efun., n
" fi oda kùn, fi efun kùn.", n
" ipinnu, àla, opin. v. pālà, șe aropin, pinnu.", n
" ipālà, ihamo.", n
" lailopin, lailala.", adj
" lailera, tiro. v. mukun.", adj
" mo gara, didan.", adj
" okùn tinrin, okùn owu,", n
" iran, idile.", n
" asq ògbọ, aşọ funfun.", n
 oko nla., n
 ti ahọn., adj
 amoye ède., n
 ororo ipara., n
 itenu aşp., n
" orike ewon, idè. v. and i. so-po.", n
 iru eso ogbo., n
 aso įgbo kikuna., n
 aterigbà., n
 kiniun., n
 abo-kiniun., n
 nigboiya bi kiniun., adj
" laiduro şin Lightly, adv. jęję, laiwuwo. şin.", adj
" ète, enu ohun elo.", n
" manamána. Lights, n.pl. fukufuku.", n
" and i. fé, ni inudidun", v
 and i. yó., v
" şişan, bi omi, dera.", adj
 and i. mọ;, v
 itun oran owo şe., n
" nkan mimu, oti.", n
 and i. soro bi omode., v
" iwe akojo oruko; te; v. and i. ko oruko si iwe,", n
 olugbo., n
" laitetisilę, jafara,", adj
 and i. tan ina., v
 adura ębe., n
 gegę bi pro., adj
" ti eko, ologbon", adj
" ogbon oro, iwe.", n
 rorun lati tệ., adj
 gbé sori okuta., v
" and i. ro ejo, fi-sun", v
" páfa; okiti koriko,", n
" kekere, kere, dię.", adj
 ilana isin., n
" and i. wà laye, yè. adj.", v
" owo lati fi jeun, ohun ini.", n
" dara ya. Liver, n. edo ki.", adj
" alaye, lye, ini. n. işę.", adj
" omole. alāmù, lamúrin,", n
" ęrù. v. and i. di ęrù le, ki ibon.", n
 isu akara. v. and i. igbanraiye., n
" ohun iwinni, ohun ti a fi ya ni.", n
 korira., v
" ęgbin, irira.", adj
 isale-eti., n
" alakaşa, ako ide.", n
 ti ibi kan., adj
 agbegbe., n
 je ti ibi kan., adv
 fi si ibi kan., v
" ipò, ibi.", n
" agadagodo; idiri; v. and i. ti, so-po.", n
 apoti kekere., n
 ohun oso ti a fi ko, n
" didi enu, aisan ipá.", n
 alagbędę kokoro., n
 ile tubu., n
 ęro ti nfa kękę., n
 ěsú., n
" and i. wo si, mu-wo. n. ago, ile onişona.", v
 eniti o ya ile wo., n
" ile agbawę, ibuwo.", n
 iyara-òke ile., n
" giga, gbe soke, gberaga.", adj
" iti igi; omugo, iwe irohin ilosiwaju okỳ.", n
 ogbon ironu., n
" igi osùn, igi ti afi", n
" ibadi, egbé, ehin eran.", n
" aço ibora, asp", n
" and i. lora, fa-sehin, duro-li-ona.", v
 onilora., n
" and i. fi ara ti, dubule lasan.", v
 nikan wa., adj
" idágbe, işe okan-", n
" jinna, gun, pę. υ..", adj
" gun ju, pę si.", adj
" ojo pipę, emi", n
" ifę gbigbona, ifo- jusona.", n
 onipamora., adj
 kanrinkan-ayaba., n
" and i. wò, yi oju si.", v
" dingi, awojiji.", n
" sona, yan.", v
" ofi, ero iwunso. υ.ί.", n
" ojóbo; iho koroboju. Loophole, n. iho kekere ni ogiri,", n
" titu, idásilę, nifękufe.", adj
 and i. ko ikogun. n. ikogun., v
 and i. ré., v
 alasoju., adj
" Oluwa, baba, qba. v.", n
 ojo Oluwa., n
 onje ale Oluwa., n
 olofò., n
" dfo, adanu.", n
" nù, sọnù.", adj
" ipin, ipo; ibo, kèké.", n
" kikan, ariwo rara.", adj
 kikankikan., adv
 and i. rogbokú. n. irogboku., v
 ina ori tabi ti asp., n
 ti a le feran., adj
" ifé. v. and i. fé, feran.", n
 ase ifé., n
 lainifé., adj
 ewa., n
" dùn, daradara.", adj
 olufé., n
" nifé, seun.", adj
 işeun-ifé., n
" iręsilę, kelękęlę, jeję. Lower, adj. releju. v. and iręsilę.", adj
 igbe. v. nke bi malu., n
 irelę okan., n
 onirelę., n
" binuję, fajuro.", adj
 olõto si oba tabi, adj
 iwa oloto., n
" fi ororo pa, mu di", v
 eşu; oruko irawo, n
" alabapade, orirere,", n
 lagbako., adv
 ni ori rere., adj
" ere, anfani.", n
 li ere., adj
 ipanilerin., adj
 and i. fa., v
 ęrù., n
 kękę ęrù., n
 lowówó., adj
 and i. mu-dakę., v
 orin ipasę fun omode., n
 lakuregbe., n
" nkan lasan, nkan ti kò nilari.", n
 irawo implę., n
 itanmole., n
 molę., adj
 işu., n
 were., n
" ti oşupa, ti oșu.", adj
 aşiwere., n
 onje osan., n
 fifi ida ti lojiji., n
" edoforo, fukufuku.", n
 ta gbongbon lojiji., v
" tan-ję, dẹ. n. ętan idę.", v
 pokudu., adj
" lumó, badè, buba.", v
" dùn pọ, wùnni.", adj
 ifękufe. v. şe ifękufe si., n
 pelu igboiya., adv
" idán, imole.", n
" lagbara, lokun, si- gbonle.", adv
 ohun ona orin., n
" idagba pupo, lopolopo.", adj
" kun fun adun,", adj
" iję adun, ijaiye.", n
 işeke ipuro. adj. ni idubule., n
 oyun ti a fi nbupa., n
 jeniya laidalejo., v
 opa oyè., n
 arekereke., n
 ero., n
 işe ti a fi ero se., n
 aso ojo., n
" şiwere, biba je ori, asinwin.", adj
 oruko pla fun agba obirin., n
" and i. ba li ori ję, mubinu.", v
" se, da.", adj
 ile awon aşiwere., n
" ile ętu, iwe.", n
 idin., n
 idán., n
 atupa onidan., n
" alalupayida, oșó,", n
" onidajo, olori.", n
" inu rere, qlola.", n
" plola, oni nurere, olore.", adj
 olori., n
 ofà., n
" lolanla, niyin", adj
" eni imutobi, eni igbéga.", n
" gbé-ga, yin-logo, mu-tobi.", v
" titobi, gbigborin.", n
 amona nla ti awon Imale nrėti., n
" igi gedú, igi oganwo.", n
" wundia, omo-odo obi- rin.", n
 igba wundia., n
 ewu ti a fi irin adaro, n
 oko ti nmu iwe kiri., n
 kękę iwe., n
" pa li ara, şe li abukùn.", v
" pataki, olori. agbára, okun, pataki.", adj
 pataki., adv
 igbokun pataki ninu oko., n
 itilehin., n
" se itoju, mu-duro, di-mu, tenumo.", v
" itoju, onję. itilehin.", n
" agbado, oka. Majestic, adj. ti o ni pla, ti o ni owo.", n
 plá nla., n
 dye ogagun; àgba., n
 akoko odun àgba; awon ti opoju., n
" and i. se, dà, mộ.", v
 eleda., n
" aisan, àrun.", n
" amodi, iba.", n
" ti amodi, ti aisan.", adj
 ti ako. n. ako., adj
 omokonrin., n
" isoro ibi, ifibu.", n
" arufin, oluşe bu-", n
" ni ifé buburu, nijowú.", adj
 arankan., n
" ni irira, arankan.", adj
" so oro buburu si, şe keta, se arankan.", v
" ni ikà, ni oro ninu, ni iro buburu.", adj
 õlu igi., n
 iwa buburu., n
 irugbin ti a fi nșe oti., n
" se ni ibi, şe iwosi si, lò ni buburu.", v
" iwosi, ilo bu- buru.", n
 eran ti nfi omu, n
" orò, orişa prò.", n
" enia, okonrin.", n
" pawopę, ewon owo.", n
" tó, se itoju, şe abojuto, se akoso.", v
 rorun lati tó., adj
" alabojuto, olori.", n
" asę, ofin.", n
 gògò eşin., n
 şe bi okonrin., adv
 ekúru ara eran., n
" fa-ya, ge. n. ero", v
 õlọ., n
 oruko eso kan., n
 igi ęgbà ninu irà., n
 iwa okonrin., n
 iwere., n
" aşiwere, asinwin. Manifest, v. and i. fi-han,", n
" ifihan, işipaya.", n
 iwe oran ilu., n
" pipo, oniruru", adj
" fi owo şişe. Manipulation, n. fifi ọwọ tó.", v
 araiye., n
" laiya, nigboiya.", adj
 onje ti Olorun fi bọ awon omo Israel li aginju., n
" iwa, işe, iru.", n
 ogbon ilo., n
 ile alufa., n
" ile nla, ibugbe.", n
 ipania., n
 apania., n
" ewu ileke, agbada. v. and i. bò.", n
 ti a fi owo se. n. iwe kekere., adj
 ibiti a nșe ohun tità., n
 fifi ona se nkan tita., v
" ātàn, ilędu. v. ko ilędu si.", n
 iwe ti a fi owo, adj
" pupo, po, opolopo. Map, n. aworan ile aiye. v. la silę.", adj
" baję, pa-lara.", v
 eiyę ako., n
 Oluwa wa mbo., n
 and i. wá ikogun kiri., v
" apiyę kiri. Marble, n. okuta didan.", n
 oşu ękęta odun. v., n
" abo eşin. Margin, n. etí, bèbè.", n
 ti okun., adj
 atuko okun., n
" ami, apá. v. sami si.", n
" oja. v. ta oja, rà oja.", n
 ojo oja., n
 ibi oja., n
" isoyigi, igbeyawo.", n
 prá egungun., n
" and i. gbe ni iyawo,", v
" irà, erę, abàtà. Marshal, v. and i. to lesęsę.", n
 kiki irà., adj
 oja., n
 ti ogun., adj
 alapandędę., n
 ajeriku., n
 ikú ajerikú., n
 ohun iyanu. v., n
 iyanu., adj
" ako, okonri.", adj
" rún, pòlu.", v
" iboju, iparada. v.", n
" ample okuta, agbé okuta.", n
 işę ample okuta., n
" ipa oju mo, ipa", n
" işu, akopo. v. and i.", n
 pipa. v. pa ni ipakupa., n
 ipa ara fun iwosan., n
" wuwo, tobi.", adj
 opó ọkỳ., n
" olori, alakoso, oga.", n
 olori omole., n
 ologbon ni işę., adj
 olubori işę., n
 dye alakoso., n
" işęgun, ibori.", n
" ję, run.", v
 irun onje li enu., n
 eni. v. and i. fi eni ho., n
 işana; idogba; egbe, n
 ile işana., n
 lailegbera., adj
" enikeji, ęgbę. v. and i. soyigi.", n
" nkan ti ara; as, ohun elo ti afi şe nkan. adj.", n
 ti iyá., adj
 iwa iyá., n
 pipa iya eni., n
 ti igbeyawo., adj
" isoyigi, igbeyawo.", n
 inu., n
" iya àgba, onitoju ilé eko.", n
 kiwereje., adj
" ohunkohun ti afi oju ri, ti a si fi qwo kan, qràn,", n
 eni., n
 óko ganmugánmu., n
 timtim nla ti a fi, n
" dẹ, pọn, gbó.", v
 and i. ndagba. adj. pon., v
" didę, pipon, gbigbó. Maul, n. olugboro. v. lù ni lükílů.", n
 iboji ti o dara ni wiwo., n
 apo onję ti eran tabi ti eiye., n
" owe, ilana.", n
 eyiti o poju., n
 oşu karun odun., n
 ojo ekini oşu May., n
" onidaję ilu, olori ilu.", n
 aya olori ilu., n
 ona korokoro ti o şoro, n
" rù, joro, lailagbara.", adj
 onje; iyefun., n
" enia lasan, lainiyin.", adj
" idi, itumo, imò.", n
" lailori, laitumo.", adj
 ona ti a gbà lati fi şe, n
"pl. ēyi, tabi arun ēyi.", n
" iwon, osuwon. v. won.", n
 lainiwon., adj
" wiwon, iwon.", n
" onje, eran jiję.", n
" ębo onję, ębo jiję.", n
 onişę ona., n
 ohun-ami iyin., n
" dási, lowosi, fenusi.", v
" ofinràn, aladasi.", n
 alayojusi., adj
 and i. se ilaja., v
 ilaja., n
 onilaja., n
" ti ögùn, ti egbõgi.", adj
" ögùn, egbogi.", n
" and i. se àşaro,", v
 işaro., n
" arin, ohun elo.", n
 idarudapp., n
" pelę, tutù li ọkàn.", adj
" inu tutù, ọkàn tutù.", n
" and i. pade, kò loju,", v
 ilé ipade., n
" ibinuję, ifajuro, ikānu.", n
 and i. mu san die., v
" pón, dè, gbó. v. and i. di riro, di ogbó. Melodious, adj. adùn li eti.", adj
 orin didun., n
" eso itakun, bàra, egusi.", n
 and i. yó., v
 èya ara., n
" ero ijo tabi ęgbę. Membrane, n. awo felefelę ti o bo eya ara.", n
 ohun iranti., n
 itan igbe aiye eniti, n
 yę ni iranti., adj
" iwe iranni leti,", n
" iranti, ohun iranti.", n
 iranti., n
 awọn ọkonrin., n
" ikilo, iyolenu. v. kilo fun, deruba, yo lenu.", n
 akojopo eranko igbę., n
" and i. tun-şe, mu-san.", v
" alatunşe. Mendicant, n. alagbe.", n
" lainilari, işę-erú.", adj
 alasewu enia., n
 ti iyè., adj
" iranti, idaruko. v.", n
" ti onişowo, ti owd.", adj
" alagbaşe, oju-", n
 oluta asp., n
 ọjà tità., n
 onişowo., n
" lānu, niyonu.", adj
 laini anu., adj
" anu, iyonu.", n
" sa, kiki.", adj
" and i. gbémì, bọ sinu.", v
 osan gangan., n
" ère, itosi, itoye.", n
" niyin, nitoye.", adj
" ayq, idaraya.", n
" inu didun, layò.", adj
 şariya., n
 alafo larin okun àwòn., n
" rudurudu, onję ajoję.", n
" işę riran, ihin, oro.", n
" ikò, onşe, iranşę. Messiah, n. Kristi, eniti a fi ororo yàn.", n
 pade., v
 oruko ti a fi npė iru, n
 ifi ohun kan juwe., n
" plo, ero.", n
 won., v
" osuwon, iwon.", n
" mo sebi, mo ro pe.", v
" ilana, iwa, ito lęsęsę,", n
 osuwon., n
 olu ilu., n
 igboiya., n
 kike ologbo., n
pl. awon ekute., n
" larin, lagbedemeji.", adj
" psán gangan, idaji ojo.", n
" arin, agbedemeji.", n
 abo ojo., adj
" alarobo, alarena.", n
 ni iwontuwonsi., adj
 kantikanti., n
 oganjo., n
 oloye ninu okò., n
 arin., n
 agbedemeji ona., n
 olutoju awọn ti nrobí omo., n
 işę olutoju ni bibi, n
" iwo, iri.", n
 agbara. ipá. v. lè., n
" gidigidi, lopolopo.", adv
 alagbara., adj
 și lati ibi kan lọ si ibomiran., v
 işipò., n
 eran abiyamo., adj
" jeję, pelę, tuju.", adj
" imúwòdú, bibu.", n
" oşuwon ona, irin oguu", n
 okuta isami ona., n
" njà, njagun.", adj
" ti ogun, ti omo-ogun.", n
" se odi si, kojujasi.", v
 ẹgbẹ ọmọ-ogun., n
 wara. v. fun wara., n
" oluta wara, oniwara.", n
 egberun odun., n
 kùn., n
" eniti o lo agbado. Millet, n. pka baba.", n
 olutà akętę., n
 adota okę., n
 plo., n
 asiniję. v. soro tabi, n
 and i. ke wewe., v
" nyan, rera, yęge- orun, ró.", adj
" iyè, inu. v. and i. fiyesi, şe itoju.", n
 wa li okan., adj
" nranti, ntoju,", adj
 nkan ti o wà ninu erupę ilę., n
 ororo ti o nti inu ilę jade., n
" and i. dàpọ, dàlu.", v
 aworan kekere., n
 eyiti o kere julo., n
" iranşę, ojişe, alufa.", n
" işe iranşę, işe isin.", n
" oyè, işę iranşę.", n
" kereju, lailojo lori.", adj
 akoko ewe., n
 ile Olorun giga., n
" akorin, afunfere.", n
 efirin: ibiti a nda owo. v. da owo., n
" kere pupoju, nfi- yesi nkan kekere.", adj
" işęju, irohin ipinnu", n
 iwe irohin, n
 işę iyanu. , n
" iyanu, ju ti agbara enia lati şe.", adj
 iruju ti o mu ohun, n
" erè, pètępétè, irà.", n
 awojiji., n
" ayd, inudidun, iré-ayo.", n
 laini inudidun., adj
 ti o ni ęrę., adj
 jamba., n
" gbanimoran ti ko dara, tan-je.", v
 eniti o korira omo enia., n
" lò ni ona ti ko to, şilo.", v
 lò fun ohun ti akò fifunni lati lò fun. şild., v
 huwa ti kò to., v
 iwa ti kò to., n
 igba ękę odi gbo., n
" işiro ti kò to,", n
 şipè., v
" iwa buburu, isénu.", n
" oniruru, nida- rudapo.", adj
" jamba, ijába.", n
" ipanilara, ibi, ika.", n
 nika., adj
 iwa ti kò yę., n
" eniakenia, alai.", n
 iwa buburu., n
 iwa buburu., n
 și fònahan., v
 şe iyemeji si., v
 awun enia., n
" otoşi, laini alafia.", adj
" oşi, irora ti ara tabi", n
 laibamu., n
" òfò, jamba.", n
 se iyemeji., v
 jamba., n
 și wi fun., v
" și ko, și lona.", v
 și tumo., v
 şi şe., v
 şi pè oruko., v
 fi sipo ti kò tọ., v
 și te., v
 şe akoso li ona ti, n
 apémo pla fun odomo-, n
 nkan ti a fi ja bi oko. ota ibon tabi okuta., n
" nù, fẹ kù.", adj
" işe riran, işę pataki ti a ran ni si.", n
" iranşę, onişe Olorun.", n
 iwe ti a fi ranşę., n
 na ninakuna., v
" ikükü, owusuwusu.", n
" işina, ēși. v. și ro.", n
 afomo., n
 și yiropada., v
 ainigbekele. v., n
 gbolohun-, n
" și mộ, și yé. lai-ye-ni.", v
" ilõkulo. v. lò nilo- kulo, lò sodi.", n
 kokoro ti o kereju; ohun kikini; owo idę wéwę ti kò ju bi ogbòn owo eyo Ιρ., n
" mu sàn, mu fúyę, dinku.", v
" imusàn, imufúyę, idinkù.", n
 ade awon olori alufa., n
pl. ibowo., n
" and i. dàpo, sopò, pò.", v
" idapo, àdalu.", n
 ro ojo., v
" and i. sokun, pohun- rere, kerora. n. ikerora.", v
 yara. v. wa yara., n
 agbajo awon eniakenia., n
 yiyipopada., adj
" and i. fi șe eleyà, fi şesin, ti rerin, sinję.", v
" eleya, elegan.", n
" işe, iwa, aşa.", n
" aworan, aperę, awoşe.", n
" niwontunwonsin, mò niwon.", adj
" iwontunwonsin, iwa pele.", n
 ti igba isisiyi., adj
" niwontunwonsin, ni itiju, niwamimo.", adj
" tion, n. iyipada, itunşe. Modify, v. yipada, tunşe.", n
 and i. yi ohun orin, v
" Imale, omo- ehin Momodu.", n
" isin Imale. Moist, adj. tutu.", n
" and i. mu-tutu, bomi", v
" ririn, tutu.", n
 oyin iyo-oyinbo., n
 eranko kekere ti nwa iho ni ile., n
 yo-lenu., v
 iyplenu., n
" kùn, mu-ro, tu-ninu.", v
" didà, yó.", adj
 işęju kan., n
 ni pataki., adj
 oba., n
 awon enia labe oba kan., n
 ojo keji losę., n
 owo., n
 lainiowo., adj
 iko prò jo., n
 iwe ifioworanşe, n
" ikilo, işinileti.", n
" akilę funni, oluko,", n
" obo, aya.", n
 epa., n
 igbe obinrin, n
" gbàkado, fişeteni", v
" alagbakado işo wo, anikansowo.", n
 igba Olorun, n
 eniti o gba Olorun kanşoșo gbó., n
" ohun ibanilèru, ilodisi iwa eda, nkan titobiju.", n
 lodisi iwa ęda., adj
 osu., n
 lososu., adj
" iboji, ohun iranti.", n
" iwa, inu.", n
" kanra, ni ibinu.", adj
" oşupa, oșu.", n
 imolę osupa., n
 aşálė; awon larubawa., n
 jiyan., v
" and i. fajuro, gò.", v
" ti iwa, ti işę.", adj
 and i. tumo nipa ti iwa., v
" oluko nipa ti lwa. Morality, n. iwa rere, işę rere,", n
" ofin iwa, eri pkan.", n
" irà, àbata.", n
 lailera., adj
" si, julo, siwaju.", adj
" pelu-pelu, ju bę lo.", adv
" múna, şonu.", adj
 pla., n
 dkele., n
" ti ikú, ara idibaję, okú.", adj
 ikú., n
 odó., n
" fi sófà, fi dogò.", v
" iparun, ibaję, ikú, iręsilę.", n
" and i. pa-run, ba-ję, re-silę.", v
 ibi isinkú., n
 ti Mose; okuta ti a, adj
 Imale., n
 moşalaşi., n
" emuren. yanmu-yanmu,", n
" epo elewe werewere, ewedò.", n
" julo, rekoja.", adj
" ēkuru, ęrún igi.", n
" kokoro aşq, ölà.", n
" iya, abiyamq. şe agbato. v.", n
" ana, iya okó tabi iya aya.", n
 iwa bi ti iya., adj
 isipopada: igbonsę., n
" mu iyipopada wa. n. idi, èro.", adj
 agbara işipo- pada., n
 oniruru., adj
 kękę ti nrin nipa, n
 abilà tótótó., adj
 pro aşaro., n
" erupę ile; aperę. v. sú, po.", n
" and i. re-yé, tu-yé.", v
 okiti., n
" dke. v. and i. goke, gori eşin.", n
 oke giga., n
 eniti ngbe ilę, n
 kun fun oke, adj
" and i. sòfo, kānu, binuję.", v
 plofo., n
 aso ofo., n
 irun ète oke, n
 enu., n
 ikunnu., n
 ohun ti a le gbe kiri., n
" and i. șipopadà, rin,", v
" işipopada, irin.", n
" and i. ge, re.", v
" doje, aręko, oloko", n
" pupo, pipo.", adv
" ēri, ere.", n
" pętępetè, ere.", n
" and 1. sọ di ēri, şi-lo. n. rudurudu.", v
" lerè, kiki ęrè.", adj
" fi oja di, fi nkan bo.", v
 iborun., n
 ago imumi., n
 omo ti enia dudu, n
 ibaka., n
 eniti ndà ibaka., n
 oniruru., adj
" ibisi, imuposi.", n
" and i se ni ilopo ilopo, so di pupo, rè, mu-", v
" opo enia, opolopo. ", n
 opolopo., adj
 and i. kun sinu., v
 oku ti awon ara, n
pl. ésé (arun)., n
 run lenu., v
 ti aiye., adj
 ti ilu., adj
" ailawo, aisawun.", n
" lawó, ninu rere.", adj
" odi agbara, ohun", n
 ipania. v. pania., n
 apania., n
" su, şokunkun.", adj
 kùn sinu., n
 alakùn sinu., n
 ajakalę arun ti eran., n
 işan., n
 lagbara., adj
" ronu, şe aşaro.", v
 ile akojopo ohun, n
 olú., n
 orin., n
" ti orin. Musician, n. olorin, aluduru, afunfère.", adj
 isa-ętà., n
 ibon., n
 aso felefele., n
"a. kò le şe alaişę, kò", v
 eweko., n
" agbajo, akojopo. v.", n
" didikasi, bibaję.", adj
 ti a le yipada., adj
" yadi, dakę. n. odi.", adj
 ge apakan junu., v
 tệ., n
 and i. kùn., v
" eran agutan. Mutual, adj. ti a se ipaşiparo, wopo, alabapin nipa gbigbà", n
 di li enu., v
" aimoye, opolopo.", n
 ojia., n
" ti o jinlę, ti o", adj
" ohun ijinlę, ju inmo", n
" ti ohun ijinlę, ni", adj
" se okunkun, lumo.", v
" alç, itan lasan.", n
" ijaro, imò itan lasan ti enia kan.", n
 eşin kekere. v. and i. yo-, n
 ēkanna; iso. v. kàn ni işo., n
 nihoho., adj
 ihoho., n
 oruko. v. pè li oruko., n
 laini oruko., adj
 eyini ni pe., adv
" oloruko eni, nitori", n
" ögbe, orun. v. tõgbe, sùn.", n
 ęka prùn., n
" gėlė, oja, aşq inuwo.", n
 õgun imu enia sùn., n
" sọ, rò.", v
" arohin. Narrow, adj. tõro, hihá, há.", n
" ferę, kun diệ", adv
 ainibò., n
 ti imú., adj
" léri, legbin.", adj
" ti ibi. Nation, n. orilę-ède.", adj
" ti orilę-ède, ti ilę.", adj
 ara ilú., n
" ibilę. adj. ti ibi, ti eda.", n
 ibi., n
" adanida, ti iwa ęda. Naturally, adv. nipa eda, tinu-", adj
" iwa, ęda ohun-kohun.", n
" ìwabuburu, işe", n
" buburu, nika.", adj
" ēbì, isu.", n
" and i. bì, su.", v
 ibi arin ilé Olorun., n
 iwo., n
 and i. tukỳ., v
 ituko loju omi., n
 atukỳ., n
 alagbase., n
 owo-oko., n
" bękę, ndao, agbędo.", adv
" nitosi, sunmora.", adj
" ferę, kù dię.", adv
 itosi isunmora., n
 fifinju., adj
 afinju., n
 nkan ti a kò le şe alaise. adj. laişe aini., n
" kò gbodo şe alai,", v
" aini, aigbodo máșe.", n
 prùn., n
 ilękę ikárùn., n
 aso prùn., n
" alupayida, oşó.", n
 aini., n
 koleșaini., adj
 abérę., n
" lainilari, lai.", adj
 obinrin ti, n
 işe abére., n
" alaini, oşi, talaka.", adj
" buru ju. Negation, n. isę, iyàn.", adj
" pro sise, òro iyàn.", n
" aifiyesi , igbagbé. v. se igbagbé şe aifiyesi,", n
" iwa aifiyesi, ija- fara.", n
 nigbagbé., adj
" and i. se adehùn,", v
" adehùn, işowo.", n
" agbiro pro işowo. Negro, Negress, n. enia dudu.", n
 yán bi eşin. n. yiyán., v
 aladugbo., n
" adugbo, ilu.", n
" bi aladugbo,", adj
 beni kì., conj
 omo arakonri tabi arabinrin., n
" agbara ogbon, agbara imò.", n
" laimokun, laila- gbara.", adj
" aida-ara, gbi- gbon-riri.", n
 itę eiyę., n
" and i. kę bi şiye ama şe si awọn ọmọ rè, bà ninu itę.", v
 omo eiye ti a şeşe pa ninu eyin., n
 àwọn., n
" iha isalę, ti isalę. Nettle, n. werepe.", adj
 arun awo ara; ina orun., n
" işe àwọn. Neuralgia, n. iro ti oju tabi ori;", n
 iwa aişe ninu pkan., n
" sugbon, bio-", adv
 titun., adj
 omo-owo titun., n
 ni titun., adv
 otun., n
" ihin, irohin.", n
 iwe irohin., n
" ti itosi, ekeji.", adj
 enu kalamu., n
 and i. bu-ję., v
" dara, dùn.", adj
 daradara., adv
 adùn., n
 nkan kekere;, n
 oruko èfę., n
 omo arakonri tabi, n
 awùn enia., n
 sunmo., adj
 oru., n
 fila ti adesan., n
 ewu awosun., n
 eiye olorin didun., n
 lororu., adv
" alá buburu, ihan-", n
 işo oru., n
" yara, kankan.", adj
 san., adj
 õkan-di-logun., adj
 ikokan-di-logun., adj
 adorun., adj
 ękęsan., adj
" and i ja, ré, tọ.", v
 omú; şonso ori omu., n
 eyin iná., n
" bękę, ndao, agbedo.", adv
 iwa pla., n
" eni pla, eniti a bi re. Nobleman, n. ploto, plola.", n
" kò si enikan, enia", n
 ti oru., adj
 imi ori si., n
" ariwo, iro.", n
 laisi ariwo., adj
 buburu., adj
" lariwo, niro.", adj
 ti o ni oruko., adj
" pè li oruko, yàn.", v
" agbara ipèni,", n
" eniti a pè, eniti &", n
 eniti kò teriba, n
 ti ki iràn ni., adj
" ainiwa, aisi.", n
" pro ainimò, isokuso.", n
 ibi ikoko., n
" psan-gangan, agbede- meji ojo.", n
" ojóbo, àwọn. v.", n
 gęgę bi ilana., adj
" ariwa, iha oke.", n
 si iha ariwa., adv
 imu., n
 idi itana., n
 iho imu., n
" kò, kì.", adv
" niyin, lokiki, afi- yesi.", adj
 ré., v
" ami, aperę, iwe kukuru. v. fiyesi, sami si.", n
" iwe ifiyesi, iwe iranti.", n
" niyin, lokiki.", adj
" aisinkan, aisi, aiwà,", n
" afiyesi, ikilę, irohin. v. se akiyesi.", n
 igi apako ikilo. , n
" ikilo, ifihan.", n
" so di mimo, wi-fun,", v
" imò, iro.", n
 imò gbangba., n
 mimo ni gbangba., adj
 bi o tile, conj
 oruko ti enia tabi ti ohunkohun., n
" bó, fi onję fun, tó-dàgba, kẹ.", v
" bibó, onję.", n
 titun., adj
" otun, işe titun.", n
 oşu kokanla odun., n
" enia titun, ope.", n
 igba isisiyi., adv
 ojo isisiyi., adv
 laisinibikan., adv
 bi o ti wu ki o ri., adv
" nipara, noró, buru.", adj
" imu, enu.", n
" ikorijosi, iwojosi.", n
 nihoho., adj
 ti jeję., v
 ihoho ara., n
 işu., n
" iyonu, irira, ipani", n
" lainipa, lailagbara.", adj
" so di ofo, so dasan.", v
 laini imò., adj
 iye. v. kaye., n
 lainiye., adj
 ti a le ka., adj
 ikaye., n
" pò, lọpọlọpọ.", adj
 ti igbeyawo., adj
" olutó. v. and i. kę,", n
" onję, ęko.", n
 koro eso igi., n
" fikifiki, ètútu oko.", n
 àję., n
 ile elétu loju larin, n
" ibura, èpe.", n
 alaiya lile., adj
" igboran, iforibalę.", n
 nigboran., adj
" iteriba, ibu pla fun.", n
 qwon giga ti afi, n
 isanra., n
" and i. gba-gbo,", v
" işodi si, iko.", n
" olùkỳ, oluşe odi si.", n
 ibawi., n
" pre-ebo. Obligation, n. õre, igbese õre,", n
 didė., adj
" dè, ro, şe õre.", v
" ninurere, ni oju", adj
 tę si apakan., v
" pa-rę, pa-run.", v
" iparę, iparun. Oblivion, n. igbagbe.", n
 kun fun igbagbe., adj
 ti gigun ju idabu lọ., adj
" pęgan, dulumo.", n
" lewu, jębi.", adj
" lainitiju, nirira.", adj
" şokunkun, farasin.", adj
" işokukun, ifaraşin.", n
pl. işe ilana isinkú;, n
" ikiyesi, igboran.", n
" ikiyesi, gbolohun", n
" and i. se akiyesi, só; sọ òrọ.", v
" olukiyesi, oluşo.", n
 ti atijo., adj
